ticker,company_name,category,exchange,in_original,note
AEP,American Electric Power,Data Center Power Supply,NASDAQ,no,Regulated utility with data center load growth
EXC,Exelon Corporation,Data Center Power Supply,NASDAQ,no,Regulated transmission and distribution utility
OKLO,Oklo Inc,Data Center Power Supply,NYSE,no,Advanced fission; pre-revenue speculative
LEU,Centrus Energy,Data Center Power Supply,NYSE,no,Enriched uranium supplier
NNE,Nano Nuclear Energy,Data Center Power Supply,NASDAQ,no,Micro-reactor developer; pre-revenue
BTBT,Bit Digital,Neo Cloud,NASDAQ,no,Miner with AI cloud subsidiary
WYFI,WhiteFiber Inc,Neo Cloud,NASDAQ,no,AI cloud spinout; recent listing
EQIX,Equinix Inc,Neo Cloud,NASDAQ,no,Colocation data center REIT
DLR,Digital Realty Trust,Neo Cloud,NYSE,no,Data center REIT
IRM,Iron Mountain,Neo Cloud,NYSE,no,Records storage expanding into data centers
